Sr No,Date,Startup,vertical,SubVertical,City,Investor,Round,Amount,Remarks,Investors Name 
305,2018-04-22,Doxper,Healthcare,Digitized Health-Tech Solutions For Practitioners,Mumbai,Vidal Healthcare,Seed / Angel Funding,15.675,,Vidal Healthcare
306,2018-04-22,Nykaa,Consumer Internet,Beauty e-tailer,Mumbai,"Sunil Munjal, Harsh Mariwala, Dalip Pathak and Others",Private Equity,90.75,,"Sunil Munjal, Harsh Mariwala, Dalip Pathak and Others"
308,2018-04-23,Capital Float,Finance,Online Lending Platform,Bengaluru,Amazon,Private Equity,181.5,,Amazon
309,2018-04-25,Trip shelf,Consumer Internet,Online Travel Marketplace,Delhi,"GEMS Advisory, Alok Mittal and Sachin Bhatia",Seed / Angel Funding,2.0295,,"GEMS Advisory, Alok Mittal and Sachin Bhatia"
310,2018-04-26,POPxo,Technology,Women Focussed Digital Media Platform,Delhi,"Neoplux, OPPO, IDG Ventures India, Kalaari Capital, GREE Ventures and Summit Media",Private Equity,45.375,,"Neoplux, OPPO, IDG Ventures India, Kalaari Capital, GREE Ventures and Summit Media"
312,2018-04-27,1mg,Consumer Internet,Online Pharmacy Store,Gurugram,"Sequoia Capital, Maverick Capital Ltd and HBM Healthcare Investments Ltd",Private Equity,82.5,,"Sequoia Capital, Maverick Capital Ltd and HBM Healthcare Investments Ltd"
314,2018-04-30,Samco,Consumer Internet,Online Stock Broker,Mumbai,Bay Capital Investments and Others,Private Equity,61.875,,Bay Capital Investments and Others
315,2018-04-30,MyLoanCare,Finance,B2C Online Loans Marketplace,Gurgaon,SAR Group,Seed / Angel Funding,8.0685,,SAR Group
317,2018-03-01,Buddy4studdy,Consumer Internet,Online Scholarship Portal,Noida,CBA Capital and others,Private Equity,24.75,,CBA Capital and others
318,2018-03-01,Urban Ladder,E-Commerce,Online Furniture Store,Bengaluru,"Sequoia Capital, SAIF Partners and Kalaari capital",Private Equity,99.0,,"Sequoia Capital, SAIF Partners and Kalaari capital"
319,2018-03-03,Kuvera,Consumer Internet,Online Financial Planning,Bengaluru,"Baskar Subramanian, Saket Kumar, Gaurav Suri and Ankit Kesarwani",Seed / Angel Funding,2.0625,,"Baskar Subramanian, Saket Kumar, Gaurav Suri and Ankit Kesarwani"
320,2018-03-04,Gramophone,Technology,Agri-tech,Indore,InfoEdge,Seed/Angel Funding,8.25,,InfoEdge
321,2018-03-05,Wellthy,Healthcare,Therapeutics,Mumbai,"Ranjan Pai, Apoorva Patni, Beenext Ventures,GrowX Ventures",Private Equity,17.325,,"Ranjan Pai, Apoorva Patni, Beenext Ventures,GrowX Ventures"
322,2018-03-05,MedGenome,Healthcare,"Genetic Screening, DNA Diagnostics Labs & Research Centers",Bengaluru,"HDFC Life, HDFC Asset Management",Private Equity,82.5,,"HDFC Life, HDFC Asset Management"
323,2018-03-05,Finova Capital,Consumer Internet,Online Lending,Jaipur,Sequoia Capital,Private Equity,49.5,,Sequoia Capital
324,2018-03-05,Hotelogix,Technology,Cloud based Online Hotel Management Software,Noida,"Vertex Ventures, Accel Partners and Saama Capital",Private Equity,41.25,,"Vertex Ventures, Accel Partners and Saama Capital"
325,2018-03-04,Livehealth,Consumer Internet,Health Service Aggregator Platform,Pune,Nexus Venture Partners,Seed / Angel Funding,9.075,,Nexus Venture Partners
326,2018-03-06,Ad2pro,Technology,"Creative Design, Brand, Media and Technology Platform Solutions",Chennai,Avendus Finance Pvt. Ltd,Debt Funding,80.025,,Avendus Finance Pvt. Ltd
327,2018-03-06,Coverfox,Consumer Internet,Online Insurance Aggregator,Mumbai,Aegon NV,Private Equity,62.7,,Aegon NV
328,2018-03-08,Pepperfry,Consumer Internet,Online Furniture Shopping Store,Mumbai,State Street Global Advisors,Private Equity,316.8,,State Street Global Advisors
329,2018-03-08,Magicpin,Consumer Internet,Hyperlocal Discovery,Gurugram,Trifecta Capital,Debt Funding,8.25,,Trifecta Capital
330,2018-03-12,HealthCare,Consumer Internet,Healthcare Aggregator,Mumbai,HR Fund,Seed / Angel Funding,8.25,,HR Fund
331,2018-03-13,PineLabs,Technology,Digital Payment Platform,Mumbai,"Actis, Altimeter Capital",Private Equity,676.5,,"Actis, Altimeter Capital"
333,2018-03-14,AvailFinance,Consumer Internet,Online Lending Platform,Bengaluru,"Matrix Partners, Bhavish Aggarwal, Ankit Bhati, Binny Bansal, Kunal Shah and Manish Patel.",Private Equity,141.9,,"Matrix Partners, Bhavish Aggarwal, Ankit Bhati, Binny Bansal, Kunal Shah and Manish Patel."
334,2018-03-15,Grofers,Consumer Internet,Online Grocery Shop,Gurugram,"SoftBank, Tiger Global and Apoletto Managers.",Private Equity,511.5,,"SoftBank, Tiger Global and Apoletto Managers."
335,2018-03-19,Fingerlix,Consumer Internet,Ready To cook Food Solution,Mumbai,Alteria Capital,Debt Funding,10.8075,,Alteria Capital
336,2018-03-19,Karma Healthcare,Healthcare,Technology enabled equitable healthcare for India,Udaipur,"1Crowd, Ankur Capital",Seed / Angel Funding,4.125,,"1Crowd, Ankur Capital"
337,2018-03-19,Zappfresh,Food & Beverages,Online Raw Meat E-tailer,Gurugram,"Amit Burman, SIDBI Venture Capital",Seed / Angel Funding,24.75,,"Amit Burman, SIDBI Venture Capital"
338,2018-03-19,CustomerSucessBox,Technology,Customer Success Software for B2B SaaS,Gurugram,"Pi Ventures, Axilor Ventures",Seed / Angel Funding,8.25,,"Pi Ventures, Axilor Ventures"
341,2018-03-22,Chargebee,Technology,Subscription Billing & Recurring Payments Software,Chennai,"Insight Venture Partners, Accel Partners and Tiger Global Management.",Private Equity,148.5,,"Insight Venture Partners, Accel Partners and Tiger Global Management."
342,2018-03-22,i2i Funding,Consumer Internet,Online loan platform,Noida,SucSEED Venture Partners,Seed / Angel Funding,6.336,,SucSEED Venture Partners
343,2018-03-22,Slang Labs,Technology,Voice-based assistant platform,Bengaluru,Endiya Partners,Seed / Angel Funding,10.23,,Endiya Partners
345,2018-03-26,Cash Suvidha,Consumer Internet,Online loan platform,Delhi,"Initia Holdings,Vipin Agarwal and others.",Seed / Angel Funding,8.25,,"Initia Holdings,Vipin Agarwal and others."
347,2018-03-28,Smartcoin,Finance,Micro lending company,Bengaluru,"Accion Venture Lab, Unicorn India Ventures and ISME ACE.",Seed / Angel Funding,16.5,,"Accion Venture Lab, Unicorn India Ventures and ISME ACE."
348,2018-03-27,The Print,Media,News portal,Delhi,Ratan Tata,Seed / Angel Funding,4.41375,,Ratan Tata
349,2018-03-27,DriveU,Technology,Professional Car Drivers Hiring App,Bengaluru,Amit Singhal and Unitus Seed Fund,Private Equity,24.75,,Amit Singhal and Unitus Seed Fund
351,2018-02-01,BigBasket,Consumer Internet,Online Grocery & Food Store,Bengaluru,"Alibaba, Helion Venture Partners, Bessemer Venture Partners, Ascent Capital",Private Equity,2475.0,,"Alibaba, Helion Venture Partners, Bessemer Venture Partners, Ascent Capital"
352,2018-02-01,Zomato,Food and Beverages,Food Ordering and Restaurant Discovery,Gurugram,Ant Financials,Private Equity,1650.0,,Ant Financials
353,2018-02-05,Pratilipi,Publishing,E-Publishing,Bengaluru,Omidyar Network,Private Equity,35.475,,Omidyar Network
354,2018-02-05,Asia Institute Of Medical Science,Healthcare,Super-specialty Hospital,Faridabad,CDC Group Plc,Private Equity,173.25,,CDC Group Plc
355,2018-02-05,CollegeDekho,Consumer Internet,Online platform for Higher Education Services,Gurugram,"Man Capital LLP, Girnar Software, Others",Private Equity,16.5,,"Man Capital LLP, Girnar Software, Others"
357,2018-02-06,Healthi,Healthcare,Preventive Health Checkup,Bengaluru,Montane Ventures,Private Equity,25.575,,Montane Ventures
358,2018-02-07,Swiggy,Food and Beverages,Online Food Delivery,Bengaluru,Naspers,Private Equity,825.0,,Naspers
359,2018-02-08,Shape,Healthcare,"Online Portal for Diet,fitness and Beauty",Pune,Sandeep Mathur,Seed / Angle Funding,825.0,,Sandeep Mathur
360,2018-02-08,Icertis,Consumer Internet,Enterprise Contract Management Platform,Pune,Meritech Capital Partners,Private Equity,412.5,,Meritech Capital Partners
361,2018-02-09,healthifyme,Healthcare,Mobile Weight Loss Coach,Bengaluru,Sistema Asia Fund,Private Equity,99.0,,Sistema Asia Fund
363,2018-02-09,Rupeek,Consumer Internet,Online Gold Loan,Bengaluru,"Accel Partners, Sequoia Capital",Private Equity,56.3475,,"Accel Partners, Sequoia Capital"
365,2018-02-12,Lendingkart,Finance,Online Lending Platform,Bengaluru,Fullerton Financial Holdings Pte Ltd & Others,Private Equity,717.75,,Fullerton Financial Holdings Pte Ltd & Others
367,2018-02-12,Cashify,E-Commerce,Online Selling,Gurugram,Trifecta Capital,Debt Funding,7.71448425,,Trifecta Capital
368,2018-02-13,holachef,Food and Beverages,Online Food Delivery,Mumbai,Ashok Kumar Gajera,Seed / Angle Funding,2.5674,,Ashok Kumar Gajera
370,2018-02-13,IMAX Program,Ed-Tech,Individualised Progressive Learning Program,Bengaluru,"Michael & Susan Dell Foundation, LGT Impact Ventures",Private Equity,111.375,,"Michael & Susan Dell Foundation, LGT Impact Ventures"
371,2018-02-14,Littlemore,Ed-Tech,Online Education Platform,Chennai,Kalpavriksh,Private Equity,24.75,,Kalpavriksh
372,2018-02-14,Toppr,Ed-Tech,Online Education Platform,Mumbai,Axis Capital Partners,Private Equity,0.825,,Axis Capital Partners
373,2018-02-14,Shirsa Labs,Ed-Tech,Integrated Kids Engagement Company,Mumbai,"Dewang Neralla, Mahesh Kothurkar,Atul Agarwal",Private Equity,4.125,,"Dewang Neralla, Mahesh Kothurkar,Atul Agarwal"
374,2018-02-14,MoneyOnMobile,Technology,mobile payment platform,Mumbai,S7 Group,Private Equity,41.25,,S7 Group
375,2018-02-15,PetSutra,Consumer Internet,Online Pet Care Products,Gurugram,Michael Patrick Hickey,Seed / Angel Funding,1.2245805,,Michael Patrick Hickey
376,2018-02-15,Infibeam,E-Commerce,Online Retailing,Ahemadabad,Network 18,Private Equity,51.3975,,Network 18
377,2018-02-16,happay,Finance,Expense Management,Bengaluru,Sequoia and Jerry Yang,Seed / Angel Funding,2.0625,,Sequoia and Jerry Yang
378,2018-02-16,Fincash,Finance,Fin-Tech,Mumbai,"Mohammed Khan, Sameer Narayan & Others",Seed / Angel Funding,1.2375,,"Mohammed Khan, Sameer Narayan & Others"
379,2018-02-19,AyeFinance,Finance,Online Lending,Gurugram,"Hinduja Leyland Finance, IntelleGrow",Private Equity,31.35,,"Hinduja Leyland Finance, IntelleGrow"
380,2018-02-20,Agricxlab,Agriculture,Agri-tech,Mumbai,Ankur Capital,Seed / Angel Funding,4.125,,Ankur Capital
381,2018-02-21,Udaan,E-Commerce,B2B Marketplace,Bengaluru,Lightspeed & Yuri Milner,Private Equity,412.5,,Lightspeed & Yuri Milner
382,2018-02-21,Capillary,IT,SaaS,Bengaluru,"Wargburg Pincus, Sequoia",Private Equity,165.0,,"Wargburg Pincus, Sequoia"
383,2018-02-21,The Healthy Billions,Healthcare,Analytics,Gurugram,"Blume Ventures, HealthQuad and Fireside Ventures",Private Equity,17.325,,"Blume Ventures, HealthQuad and Fireside Ventures"
385,2018-02-26,Avishkaar Box,Ed-Tech,Education,Delhi,Auxano Deals,Private Equity,6.373125,,Auxano Deals
386,2018-02-26,Planys Technologies,Technology,Robotic InspectionStartup,Chennai,"Kris Gopalakrishnan, Pratithi Investment Trust, MEMG Family Office, S Gopal",Private Equity,8.58,,"Kris Gopalakrishnan, Pratithi Investment Trust, MEMG Family Office, S Gopal"
388,2018-02-27,Trilyo,Technology,AI platform for hospitality industry,Mumbai,"Startup Buddy,Amit Manocha and others",Seed / Angel Funding,2.0625,,"Startup Buddy,Amit Manocha and others"
389,2018-02-28,Gaana,Technology,Online Music Streaming,Gurugram,"Tencent Holdings Ltd, Times Internet",Private Equity,948.75,,"Tencent Holdings Ltd, Times Internet"
390,2018-02-28,Credy,IT,SaaS,Bengaluru,"Y Combinator, Khosla Ventures, Vy Capital and others",Seed / Angel Funding,11.55,,"Y Combinator, Khosla Ventures, Vy Capital and others"
393,2018-01-04,EarlySalary,Finance,Online Lending,Pune,Eight Roads Ventures India,Private,129.525,,Eight Roads Ventures India
396,2018-01-09,Lendingkart,Finance,Online Lending,Ahmedabad,Nederlandse Financierings-Maatschappij voor Ontwikkelingslanden N.V.,Debt Funding,38.775,,Nederlandse Financierings-Maatschappij voor Ontwikkelingslanden N.V.
398,2018-01-10,Tapzo,Technology,Personal Assistant,Bengaluru,RuNet & Other,Private Equity,15.9225,,RuNet & Other
399,2018-01-10,Appario Retail Pvt Ltd.,E-commerce,Retail,Delhi,Amazon-Patni JV,Private Equity,155.43,,Amazon-Patni JV
400,2018-01-10,Samunnati,Finance,Agricultural Loan,Chennai,"responsAbility, Elevar Equity and Accel Partners",Private Equity,193.875,,"responsAbility, Elevar Equity and Accel Partners"
401,2018-01-10,Sahajanand Medical Technologies,Technology,Medical Devices,Surat,Morgan Stanley Private Equity Asia,Private Equity,298.8975,,Morgan Stanley Private Equity Asia
402,2018-01-12,Kuants,Technology,Algorithmic Trading,Gurgaon,"Pankaj Chopra, Ankush Gupta",Angel / Seed Funding,0.66,,"Pankaj Chopra, Ankush Gupta"
403,2018-01-12,Razorpay,Technology,Payment Gateway,Bengaluru,"Tiger Global, Y Combinator",Private Equity,165.0,,"Tiger Global, Y Combinator"
404,2018-01-15,Streak,Technology,Algorithmic Trading,Bengaluru,"Indian fintech fund, Rainmatter",Angel / Seed Funding,2.92545,,"Indian fintech fund, Rainmatter"
405,2018-01-15,pi Ventures,Finance,Venture Capital,Bengaluru,"Sunil Kant Munjal, Hero Electronix\\xe2\\x80\\x99s corporate financing arm, Electronic Development Fund",Private Equity,206.25,,"Sunil Kant Munjal, Hero Electronix\\xe2\\x80\\x99s corporate financing arm, Electronic Development Fund"
406,2018-01-15,Newgen Software,Technology,IT,New Delhi,"Goldman Sachs, hedge fund & Others",Private Equity,165.0,,"Goldman Sachs, hedge fund & Others"
407,2018-01-17,Rubix,Technology,Education,Pune,Polaris Fund,Private Equity,8.25,,Polaris Fund
408,2018-01-18,ShareChat,Technology,Social,Bengaluru,"Xiaomi Singapore, Shunwei Capital",Private Equity,150.15,,"Xiaomi Singapore, Shunwei Capital"
409,2018-01-22,Paperflite,Technology,IT,Chennai,The Chennai Angels,Angel / Seed Funding,3.3,,The Chennai Angels
410,2018-01-22,HungerBox,Consumer Internet,Food and Beverages,Bangalore,Lionrock Capital,Private Equity,20.625,,Lionrock Capital
412,2018-01-22,OptaCredit,Finance,Alternative Lending,Chennai,DMI Finance,Private Equity,33.0,,DMI Finance
413,2018-01-22,AEON Learning,Technology,Education,Bengaluru,Dr. Ranjan Pai,Private Equity,26.4,,Dr. Ranjan Pai
414,2018-01-23,Milkbasket,E-commerce,Online Grocery,Gurugram,Unilever Ventures,Private Equity,24.75,,Unilever Ventures
415,2018-01-24,NeoGrowth Credit,Finance,Digital Lending,Mumbai,"LeapFrog Investments, Aspada Investment, Quona Capital",Private Equity,387.75,,"LeapFrog Investments, Aspada Investment, Quona Capital"
416,2018-01-24,Rao IIT Academy,Education,Coaching Services,Mumbai,Avendus Finance,Structured Debt,70.95,,Avendus Finance
417,2018-01-24,Aye Finance,Finance,Online Lending,Gurugram,IFMR Capital,Term Loan,51.48,,IFMR Capital
419,2018-01-25,GreyAtom,Technology,Education,Mumbai,Pravega Ventures,Private Equity,8.25,,Pravega Ventures
420,2018-01-26,Axio,Healthcare,Hemostatic Dressing Solutions,Bengaluru,RNT Capital,Private Equity,61.05,,RNT Capital
421,2018-01-29,eKincare,Healthcare,Technology,Hyderabad,"Ventureast, Endiya Partners, Eight Roads Ventures, Touchstone Equities, BVR Mohan Reddy",Private Equity,12.375,,"Ventureast, Endiya Partners, Eight Roads Ventures, Touchstone Equities, BVR Mohan Reddy"
422,2018-01-29,The Wedding Brigade,Consumer internet,Online Services,Mumbai,Blume Ventures,Private Equity,8.25,,Blume Ventures
423,2018-01-30,PeeSafe,Healthcare,Hygiene,Gurugram,"Shivani Singh, Rahul Maroli, Mitesh Shah, Venture Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures.",Private Equity,8.25,,"Shivani Singh, Rahul Maroli, Mitesh Shah, Venture Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures."
424,2018-01-30,BrowserStack,Technology,Browser Testing,Mumbai,Accel Partners,Private Equity,412.5,,Accel Partners
425,2018-01-30,Scapic,Technology,Virtual Reality,Bengaluru,"Axilor Ventures, Newfort Capital",Angel / Seed Funding,4.125,,"Axilor Ventures, Newfort Capital"
426,2018-01-30,MoneyOnMobile,Technology,Mobile Payment Platform,Mumbai,Undisclosed Investors,Private Equity,62.7,,Undisclosed Investors
427,2018-01-30,CureFit,Healthcare,Fitness,Bengaluru,"HDFC Bank, Axis Bank",Debt Funding,82.5,,"HDFC Bank, Axis Bank"
428,2018-01-31,iNurture,Technology,Education Solutions,Bengaluru,Ventureast,Private Equity,36.3,,Ventureast
430,2017-12-05,Dunzo,Technology,Daily Task Management Mobile App,Bangalore,Google,Private Equity,101.475,,Google
431,2017-12-05,Tata Housing,Real Estate,Residential Project,Mumbai,Hines,Private Equity,189.75,,Hines
432,2017-12-05,HandyTrain,Technology,Mobile Learning Management Platform,Goa,NB Ventures,Private Equity,8.25,,NB Ventures
433,2017-12-05,Mobycy,Technology,Bicycle sharing Platform,Gurgaon,Undisclosed Investors,Seed/Angel Funding,4.125,,Undisclosed Investors
434,2017-12-06,Greenlight Planet,Technology,Off-grid solar products platform,Mumbai,"Apis Partner, Eight Roads Ventures, Bamboo Capital Partners",Private Equity,495.0,,"Apis Partner, Eight Roads Ventures, Bamboo Capital Partners"
435,2017-12-06,Fintobox,Technology,Child Learning & Development Platform,Chennai,Lightbox,Private Equity,57.75,,Lightbox
436,2017-12-07,Mswipe,Technology,Mobile point of sale services provider,Mumbai,Eduardo Saverin,Private Equity,82.5,,Eduardo Saverin
437,2017-12-07,The Label Life,E-Commerce,Home Decor and Online Fashion Portal,Mumbai,Kalpvriksh,Private Equity,25.575,,Kalpvriksh
438,2017-12-07,Cygnus Hospitals,Healthcare,Super speciality Hospitals,Gurgaon,Somerset Indus Capital Ventures,Seed/Angel Funding,6.1875,,Somerset Indus Capital Ventures
439,2017-12-07,eShakti,Ecommerce,"""Women\\'s Fashion Clothing Online Platform""",Chennai,IDG Ventures,Debt Funding,18.975,,IDG Ventures
440,2017-12-08,Inshorts,Technology,Mobile News Curation App,Noida,Tiger Global,Private Equity,41.25,,Tiger Global
441,2017-12-11,Vahdam Tea,E-Commerce,Online Platform Selling Indian Tea Globally,Delhi,"Singapore Angel Network, Mumbai Angel",Private Equity,12.375,,"Singapore Angel Network, Mumbai Angel"
442,2017-12-11,Logic Roots,Technology,Educational Platform to Learn Mathematics,Mumbai,Village Capital,Seed/Angel Funding,0.4125,,Village Capital
443,2017-12-11,Project Mudra,Technology,Assisting Visually Impaired to learn through Braille,Bengaluru,Village Capital,Seed/Angel Funding,0.4125,,Village Capital
444,2017-12-11,Furlenco,Technology,Furniture Rental Platform,Bengaluru,Aamir Khan,Debt Funding,9.9,,Aamir Khan
445,2017-12-12,I Can Stay,Technology,Hotel Aggregator Platform,Delhi,HT Media,Private Equity,14.85,,HT Media
447,2017-12-12,Simility,Technology,Adaptive Fraud Intelligence Platform,Hyderabad,Accel Partners,Private Equity,144.375,,Accel Partners
448,2017-12-12,Shopholix,E-Commerce,Fashion and Lifestyle Coupon Platform,Gurgaon,Munesh Khanna,Seed/Angel Funding,1.92225,,Munesh Khanna
449,2017-12-13,MindTickle,Technology,Gamification Platform to train Sales People,Pune,Canaan Partners,Private Equity,222.75,,Canaan Partners
450,2017-12-13,Nazara Technologies,Technology,Mobile Games Development Firm,Mumbai,Rakesh Jhunjhunwala,Private Equity,222.75,,Rakesh Jhunjhunwala
451,2017-12-13,DocsApp,Technology,Mobile Application for Doctor Consultation,Bengaluru,Bessemer Venture Partners,Private Equity,59.4,,Bessemer Venture Partners
453,2017-12-14,Tea Box,E-Commerce,Fresh Indian Tea Selling Platform across 112 countries,Bengaluru,RB Investments,Private Equity,57.75,,RB Investments
454,2017-12-14,Transversal Technologies,Technology,Hyperlocal Video Information Sharing Platform,Bengaluru,Matrix Partners,Private Equity,49.5,,Matrix Partners
455,2017-12-14,Curofy,Technology,Mobile App for Network of Doctors,Gurgaon,RoundGlass Partners LLC,Seed/Angel Funding,2.0625,,RoundGlass Partners LLC
456,2017-12-14,HomeLane,E-Commerce,Online Furniture Marketplace,Bengaluru,"Accel Partners, Sequoia Capital, RB Investments",Private Equity,82.5,,"Accel Partners, Sequoia Capital, RB Investments"
458,2017-12-15,Purplle,E-Commerce,Beauty Products Online Marketplace,Mumbai,"Mountain Pain Capital, Suncoast Investments",Seed/Angel Funding,4.43025,,"Mountain Pain Capital, Suncoast Investments"
461,2017-12-19,Springboard,Technology,Online Courses and Mentoring from Experts,Bengaluru,"Costanoa, Learn Capital, Jyoti Bansal",Private Equity,78.375,,"Costanoa, Learn Capital, Jyoti Bansal"
463,2017-12-19,9Stacks,Technology,Online Poker Platform,Delhi,"Swati Gupta, Purnima Khandelwal, Maheshwar Peri, Sanjay Singh",Private Equity,12.375,,"Swati Gupta, Purnima Khandelwal, Maheshwar Peri, Sanjay Singh"
464,2017-12-20,Your Quote,Technology,Vernacular and Video Content Platform,Bengaluru,"Axilor Ventures, E-City VEntures Atul Goel",Private Equity,8.25,,"Axilor Ventures, E-City VEntures Atul Goel"
465,2017-12-20,Spandana Sphoorty,Finance,Micro finance institution providing small ticket unsecured loans to women,Hyderabad,"""Kedaraa Capital, Ontario Teachers\\'""",Private Equity,160.875,,"""Kedaraa Capital, Ontario Teachers\\'"""
466,2017-12-21,Indus OS,Technology,Regional Operating System for Smartphones,Mumbai,Omidyar Network,Private Equity,33.0,,Omidyar Network
467,2017-12-21,EasyEcom,E-Commerce,Ecommerce enabler platform,Bengaluru,"Ambarish Gupta, Aneesh Reddy, Bold Ventures, Vona Investments",Seed/Angel Funding,1.2375,,"Ambarish Gupta, Aneesh Reddy, Bold Ventures, Vona Investments"
469,2017-12-26,Specsmakers,E-Commerce,Online Spects Platform for Men and Women,Chennai,Eight Roads Ventures India,Private Equity,82.5,,Eight Roads Ventures India
471,2017-12-27,Foyr.com,Technology,Realty Tech Startup solving real life Interior Designing problems,Hyderabad,Jones Lang LaSalle,Private Equity,31.35,,Jones Lang LaSalle
472,2017-11-02,Prest Loans,Finance,Business & SME Loans provider,New Delhi,"Manish Poddar, Arun Garg, Parmeshwar Sharma",Seed Funding,4.7025,,"Manish Poddar, Arun Garg, Parmeshwar Sharma"
475,2017-11-03,Vagupu,Technology,Online Tutorial Marketplace,Bangalore,Undisclosed Investors,Seed Funding,8.25,,Undisclosed Investors
477,2017-11-03,Kalpnik Technologies,Technology,VR based Spiritual platform,Bangalore,Venture Catalysts,Seed Funding,4.125,,Venture Catalysts
478,2017-11-04,Hevo Data,Technology,Real time data analytics & reporting,Bangalore,IDG Ventures India,Private Equity,8.25,,IDG Ventures India
482,2017-11-07,DocTalk,Technology,Doctor Patient Communication platform,Mumbai,"Matrix Partners India, Khosla Ventures",Private Equity,41.25,,"Matrix Partners India, Khosla Ventures"
483,2017-11-07,CoveIoT,Technology,Wearable tech and Internet of Things platform,Bangalore,"Titan Co Ltd, Tata Group\\xe2\\x80\\x99s watch and jewellery retailing firm",Private Equity,41.25,,"Titan Co Ltd, Tata Group\\xe2\\x80\\x99s watch and jewellery retailing firm"
484,2017-11-08,TalentEdge,Technology,Distance Education Learning Platform,Bangalore,Lumis Partners,Private Equity,62.7,,Lumis Partners
485,2017-11-08,Fisdom,Finance,Mutual Fund Investment App,Bangalore,Quona Capital Management,Private Equity,24.75,,Quona Capital Management
486,2017-11-08,FarmLink,eCommerce,Online platform for Agricultural products,Mumbai,"Pioneering Ventures, Syngenta AG",Private Equity,24.75,,"Pioneering Ventures, Syngenta AG"
487,2017-11-08,OpenApp,Technology,IoT based Tech Startup,Bangalore,"Axilor Ventures, Kumar Vembu",Private Equity,29.7,,"Axilor Ventures, Kumar Vembu"
488,2017-11-09,NoPaperForms,Technology,Enrolment Management Platform,Delhi,Info Edge,Seed Funding,7.194,,Info Edge
491,2017-11-10,Qubole,Technology,Big Data based analytics platform,Bangalore,"Singtel, Innov8, Harmony Partners",Private Equity,206.25,,"Singtel, Innov8, Harmony Partners"
493,2017-11-13,Universal Sportsbiz Pvt. Ltd,ECommerce,Celebrity fashion accessories and merchandise,Mumbai,Accel Partners,PrivateEquity,123.75,,Accel Partners
495,2017-11-14,Active AI,Technology,AI based FinTech platform,Bangalore,Vertex Ventures,Private Equity,68.0625,,Vertex Ventures
496,2017-11-15,Sumeru,Technology,Banking Software License Platform,Bangalore,Undisclosed Investors,Seed Funding,7.425,,Undisclosed Investors
498,2017-11-15,Omnia Information,Technology,WiFi Analytics Platform,Delhi,Omidyar Network,Private Equity,24.75,,Omidyar Network
501,2017-11-17,Kanhaiya,Inspiration,Storytelling platform,Hyderabad,Undisclosed Investors,Seed/Angel Funding,1.65,,Undisclosed Investors
503,2017-11-20,ONN Bikes,Technology,Self riding bike rental program,Mumbai,Z Nation Lab,Seed/Angel Funding,5.709,,Z Nation Lab
504,2017-11-21,Rapido,Technology,Bike and Taxi pooling online platform,Hyderabad,"Skycatcher Fund, Aravind Sanka",Seed/Angel Funding,2.7161475,,"Skycatcher Fund, Aravind Sanka"
505,2017-11-21,Heckyl,Technology,Big Data Analytics Platform,Mumbai,"Notion Capital, IDG Ventures",Private Equity,22.275,,"Notion Capital, IDG Ventures"
506,2017-11-21,Nuvepro,Technology,Managed Cloud Environment Solutions,Mumbai,1Crowd,Seed/Angel Funding,3.3,,1Crowd
507,2017-11-21,RedBook,Technology,AI based pharmacy drugs insights platform,Mumbai,"Vida Ventures, Dr. Aniruddha Malpani",Seed/Angel Funding,2.0625,,"Vida Ventures, Dr. Aniruddha Malpani"
508,2017-11-21,Portea,Healthcare,Healthcare facilities at doorstep,Bangalore,"Sabre Partners, MEMG CDC",Private Equity,214.5,,"Sabre Partners, MEMG CDC"
510,2017-11-21,Epiq Capital,Finance,Tech based investor firm,Mumbai,Global Institutional Investors,Private Equity,1650.0,,Global Institutional Investors
513,2017-11-24,IDG Ventures,Finance,Venture Capitalist,Bangalore,Uniliver Ventures,Private Equity,82.5,,Uniliver Ventures
514,2017-11-24,TempGo,Technology,IoT and SaaS based transportation platform,Goa,Javelin StartupO Victory Fund,Seed/Angel Funding,2.0625,,Javelin StartupO Victory Fund
515,2017-11-27,Edelweiss,Finance,Diversified Financial,Mumbai,Undisclosed investors,Private Equity,2227.5,,Undisclosed investors
516,2017-11-27,ERA,Technology,Identity management platform,Mumbai,Amit Patni,Seed/Angel Funding,0.32175,,Amit Patni
517,2017-11-27,Smaaash,Technology,Virtual Reality based gaming platform,Mumbai,Sixth Sense Ventures,Private Equity,31.35,,Sixth Sense Ventures
518,2017-11-28,Chumbak,Lifestyle,Designer-led consumer products,Bangalore,Gaja Capital,Private Equity,107.25,,Gaja Capital
519,2017-11-28,FR8,Technology,Online Truck aggregator platform,Chennai,IFMR Capital,Debt Funding,12.375,,IFMR Capital
520,2017-11-28,MobieFit,Healthcare,Health and fitness based mobile App,Goa,"NB Ventures, MediAssist",Seed/Angel Funding,11.1375,,"NB Ventures, MediAssist"
521,2017-11-28,Stanza Living,Technology,Student accommodation platform,Delhi,"Matrix PArtners, Accel",Private Equity,16.5,,"Matrix PArtners, Accel"
524,2017-10-03,Ola Cabs,Consumer Internet,App based cab hailing services,Bangalore,"Tencent, Softbank Group",Private Equity,907.5,,"Tencent, Softbank Group"
526,2017-10-04,CollPoll,Consumer Internet,Education collaboration platform,Bangalore,Sprout Angels,Seed Funding,2.5245,,Sprout Angels
